Track,Level,Core Modules,AI Modules,Softskills
Pathfinding,A1 Intern,"Introduction to Testing, Test Case Design, Exploratory Testing, Git, Intro Programming, Shadowing","Intro to AI in Testing, Prompt Engineering Basics, GenAI for Test Case Drafting, AI-Assisted Documentation","Professional Communication Basics, Active Listening, Time Management, Growth Mindset, Collaboration in Agile Teams, Basic Presentation Skills"
Pathfinding,A2 Graduate,"Functional Testing Masterclass, API Testing, Intro Automation, CI/CD Basics, Cloud Fundamentals","AI-Augmented Test Design, GenAI for API Test Ideas, AI Log/Pattern Analysis, AI for Exploratory Testing","Effective Written Communication, Stakeholder Awareness, Problem-Solving Fundamentals, Confidence in Stand-ups, Team Collaboration, Consultancy Mindset Intro"
Pathfinding,B1 Engineer,"Intermediate Automation, API Automation, Performance Testing, Test Data Management, Cloud Test Execution","AI-Assisted Automation Scripting, ML Basics for Testers, Intelligent Test Data Generation, AI Performance Insights","Structured Communication, Estimation & Planning,   Conflict-Free Communication,   Prioritization,  Giving Feedback,  Client-Facing Professionalism"
Leadership,B2 Senior Engineer,"Test Strategy, Advanced Frameworks, Stakeholder Management, Risk-Based Testing, Reporting","AI-Enhanced Test Strategy, AI Tool Evaluation, AI Quality Dashboards, Responsible AI Governance","Coaching & Mentoring, Leading Work Packages, Assertive Communication, Facilitating Agile Ceremonies, Influencing Without Authority, Handling Difficult Conversations"
Leadership,C1 Team Lead,"Leading QA Teams, Test Planning, Conflict Management, Delivery Excellence","AI-Powered Reporting, Ethical AI Governance, AI Delivery Forecasting","Team Leadership & Motivation, Delegation, Mediation, Stakeholder Management, Running Effective Meetings, Emotional Intelligence"
Leadership,C2 Associate Manager,"Multi-Team Coordination, Quality Maturity, Financial Awareness, Stakeholder Management","AI Maturity Models, AI Resource Planning, AI Quality Governance","Cross-Team Communication, Negotiation, Strategic Thinking, Managing Up, Coaching for Performance, Change Management Fundamentals"
Leadership,D1 Manager,"QE Strategy, Change Management, Negotiation, Scaling Automation","AI-First QE Strategy, Scaling AI Automation, AI Risk/Quality Prediction Models","Executive Communication, Strategic Influence, High-Stakes Negotiation, Organizational Leadership, Leading Through Change, Building High-Performance Teams"
Leadership,D2 Senior Manager,"Enterprise Quality Architecture, Executive Communication, Innovation, High-Performance Organizations","Executive AI Communication, AI Business Development, Enterprise AI Strategy","Vision & Storytelling, Executive Presence,   Crisis Communication,   Enterprise Stakeholder Management,   Thought Leadership, Innovation Leadership"
Specialist,B2 Specialist,"Advanced Programming, Framework Design, API Mastery, Performance Foundations","AI-Enhanced Framework Design, ML-Based Test Prioritization, GenAI Pipeline Integration","Coaching & Mentoring,  Leading Work Packages,  Assertive Communication,  Facilitating Agile Ceremonies,  Influencing Without Authority,  Handling Difficult Conversations"
Specialist,C1 Senior Specialist,"Cloud-Native Automation, TestOps, Security Testing, Advanced Performance","AI-Native Automation Patterns, AIOps, AI Performance Engineering","Team Leadership & Motivation, Delegation,  Mediation,  Stakeholder Management,  Running Effective Meetings, Emotional Intelligence"
Specialist,C2 Principal Specialist,"Enterprise Automation Architecture, Tooling Strategy, Engineering Analytics","AI Quality Analytics, AI Tooling Strategy, AI-Enhanced TestOps Pipelines","Cross-Team Communication, Negotiation, Strategic Thinking, Managing Up,  Coaching for Performance, Change Management Fundamentals"
Specialist,D1 Architect,"Test Architecture Patterns, IaC, CI/CD Architecture, Intelligent Automation","AI-First Architecture Patterns, Intelligent CI/CD, Autonomous Testing Foundations","Executive Communication, Strategic Influence, High-Stakes Negotiation, Organizational Leadership, Leading Through Change, Building High-Performance Teams"
Specialist,D2 Senior Architect,"Tech Roadmapping, Emerging Trends, Scalable Platforms","Strategic AI Roadmapping, Emerging AI Trends, AI-Driven Automation Platforms","Vision & Storytelling,  Executive Presence,  Crisis Communication,  Enterprise Stakeholder Management, Thought Leadership, Innovation Leadership"
